Région,Sous-Région,Appellation,Label,Cru,Type,Couleur,Age min,Age max,T°C min,T°max,Type de verre,Commentaires
Bourgogne,Côte de Beaune,Beaune,AOC,BEAUNE Premier Cru,sec,rouge,7,15,15,16,,
Bourgogne,Côte de Beaune,Beaune,AOC,Beaune,sec,blanc,2,8,11,13,,
Bourgogne,Côte de Beaune,Beaune,AOC,BEAUNE Premier Cru,sec,blanc,5,15,12,14,,
Bourgogne,Côte de Beaune,Bienvenues-Bâtard-Montrachet,AOC,Bienvenues-Bâtard-Montrachet Grand Cru,sec,blanc,10,30,12,14,,
Bourgogne,Côte de Beaune,Blagny,AOC,Blagny,sec,rouge,3,6,16,16,,
Bourgogne,Côte de Beaune,Blagny,AOC,Blagny Premier Cru,sec,Rouge,5,8,16,16,,
Bourgogne,Côte de Beaune,Charlemagne,AOC,Charlemagne Grand Cru,sec,blanc,10,25,12,14,,
Bourgogne,Côte de Beaune,Chassagne-Montrachet,AOC,Chassagne-Montrachet,sec,rouge,4,10,16,,,
Bourgogne,Côte de Beaune,Chassagne-Montrachet,AOC,Chassagne-Montrachet Premier Cru,sec,rouge,6,15,16,,,
Bourgogne,Côte de Beaune,Chassagne-Montrachet,AOC,Chassagne-Montrachet,sec,blanc,3,10,12,14,,
Bourgogne,Côte de Beaune,Chassagne-Montrachet,AOC,Chassagne-Montrachet Premier Cru,sec,blanc,5,15,12,14,,
Bourgogne,Côte de Beaune,Chevalier-Montrachet,AOC,Chevalier-Montrachet Grand Cru,sec,blanc,8,20,12,14,,
Bourgogne,Côte de Beaune,Chorey-lès-Beaune,AOC,Chorey-lès-Beaune,sec,rouge,5,10,16,,,
Bourgogne,Côte de Beaune,Chorey-lès-Beaune,AOC,Chorey-lès-Beaune,sec,blanc,3,8,12,13,,
Bourgogne,Côte de Beaune,Corton,AOC,Corton Grand Cru,sec,rouge,5,30,16,,,
Bourgogne,Côte de Beaune,Corton,AOC,Corton Grand Cru,sec,blanc,5,15,12,14,,
Bourgogne,Côte de Beaune,Corton-Charlemagne ,AOC,Corton-Charlemagne Grand Cru,sec,blanc,5,20,12,14,,
Bourgogne,Côte de Beaune,BOURGOGNE-HAUTES-CÔTES-DE-BEAUNE,AOC,BOURGOGNE-HAUTES-CÔTES-DE-BEAUNE,sec,rouge,2,6,16,,,
Bourgogne,Côte de Beaune,BOURGOGNE-HAUTES-CÔTES-DE-BEAUNE,AOC,BOURGOGNE-HAUTES-CÔTES-DE-BEAUNE,sec,blanc,1,5,12,14,,
Bourgogne,Côte de Beaune,CÔTE-DE-BEAUNE,AOC,CÔTE-DE-BEAUNE,sec,rouge,2,6,16,,,
Bourgogne,Côte de Beaune,CÔTE-DE-BEAUNE,AOC,CÔTE-DE-BEAUNE,sec,blanc,1,5,12,14,,
Bourgogne,Côte de Beaune,CÔTE-DE-BEAUNE-VILLAGES,AOC,CÔTE-DE-BEAUNE-VILLAGES,sec,rouge,3,8,16,,,
Bourgogne,Côte de Beaune,Criots-Bâtard-Montrachet,AOC,Criots-Bâtard-Montrachet Grand Cru,sec,blanc,6,25,12,14,,
Bourgogne,Côte de Beaune,Ladoix,AOC,Ladoix,sec,rouge,2,7,16,,,
